treenum,site,subzone,spp,dbh,radius,ht,global,meanrg,meanhg,hg1995,hg1994,hg1993,hg1992,hg1991,rg1995,rg1994,rg1993,rg1992,rg1991
78,KAK,BWBSDK1,BL,0.4,14.5288,1.4,11.886,0.6552,8.2,9.0,10.0,5.0,5.0,12.0,0.508,0.711,0.965,0.457,0.635
86,KAK,BWBSDK1,BL,0.6,8.15339999999999,1.6,8.893,0.2742,8.4,6.0,10.0,10.0,5.0,11.0,0.305,0.305,0.203,0.279,0.279
24,KAK,BWBSDK1,BL,0.7,14.9352,1.6,28.603,0.9398,15,20.0,17.0,14.0,11.0,13.0,0.940,0.914,1.219,0.686,0.940
89,KAK,BWBSDK1,BL,0.7,11.8872,1.4,7.13,0.183,5,5.0,7.0,3.0,5.0,5.0,0.178,0.229,0.254,0.152,0.102
41,KAK,BWBSDK1,BL,0.8,13.4366,1.5,32.798,1.153,11.8,15.0,17.0,6.0,10.0,11.0,1.372,1.473,0.965,0.914,1.041
90,KAK,BWBSDK1,BL,0.9,14.6304,1.4,10.064,0.254,4,3.0,5.0,3.0,4.0,5.0,0.152,0.178,0.279,0.305,0.356
121,KM524121,BWBSDK1,BL,0.9,8.382,1.8,21.495,0.360680000000002,10.1,10.5,9.5,10,11,9.5,0.253999999999991,0.381,0.330200000000019,0.381,0.4572
25,KINIS025,BWBSDK1,BL,1.1,16.7132,1.6,34.487,1.51384,15.7,23,17,13,12,13.5,1.09219999999999,1.62560000000002,2.03199999999998,2.286,0.5334
77,KAK,BWBSDK1,BL,1.1,17.4752,1.7,12.385,0.4622,6.8,10.0,8.0,3.0,7.0,6.0,0.457,0.635,0.406,0.432,0.381
94,KM553094,BWBSDK1,BL,1.2,14.0208,1.7,62.908,1.66116,19.4,19,24,22,18,14,1.65099999999998,1.8288,2.00660000000002,1.3716,1.4478
67,KAK,BWBSDK1,BL,1.3,15.6718,1.8,21.799,0.8888,12.8,19.0,15.0,7.0,8.0,15.0,0.838,1.168,1.041,0.559,0.838
139,KM585139,BWBSDK1,BL,1.3,11.2522,1.6,16.975,0.523239999999998,6.5,5.5,5,6.5,6,9.5,0.381,0.507999999999981,0.66040000000001,0.43180000000001,0.634999999999991
141,KM585141,BWBSDK1,BL,1.4,12.9032,2,6.652,0.59436,10.1,12.5,14,9,6.5,8.5,0.482600000000019,0.787399999999991,0.634999999999991,0.5334,0.5334
36,KAK,BWBSDK1,BL,1.5,19.1516,2.0,10.775,1.1126,10.4,7.0,19.0,6.0,12.0,8.0,0.914,1.295,1.372,0.864,1.118
37,KAK,BWBSDK1,BL,1.5,14.4526,2.0,31.969,1.3564,16.2,18.0,20.0,11.0,12.0,20.0,1.219,1.499,1.549,1.118,1.397
97,KM553097,BWBSDK1,BL,1.6,15.2908,1.8,51.33,0.762,15.9,18,17.5,15.5,13.5,15,0.965199999999982,0.711200000000019,0.8382,0.711199999999991,0.58420000000001
15,KINIS015,BWBSDK1,BL,1.7,15.2908,1.9,45.71,1.53924,17.4,24,21.5,15.5,10,16,1.524,1.87960000000001,1.54939999999999,1.54939999999999,1.19380000000001
81,KAK,BWBSDK1,BL,1.9,19.9898,2.9,16.165,1.595,15.4,24.0,17.0,8.0,12.0,16.0,1.575,1.422,1.905,1.549,1.524
34,KAK,BWBSDK1,BL,2,16.3576,2.2,12.091,0.6502,11.2,17.0,10.0,6.0,11.0,12.0,0.559,0.660,0.711,0.635,0.686
29,KAK,BWBSDK1,BL,2.1,21.7932,2.3,36.04,0.9906,13.6,18.0,20.0,15.0,10.0,5.0,0.762,1.194,1.092,0.889,1.016
59,KINIS059,BWBSDK1,BL,2.2,14.224,2,64.701,1.21412,19,26,11.5,20,25,12.5,1.80340000000001,1.49859999999998,1.19380000000001,0.762,0.81280000000001
533,KINIS533,BWBSDK1,BL,2.3,19.8628,2,63.748,1.64084,14.6,18,7,10,16,22,1.87960000000001,1.87960000000001,1.65099999999998,0.88900000000001,1.905
35,KAK,BWBSDK1,BL,2.4,20.4978,2.5,10.198,0.8736,10,16.0,12.0,8.0,8.0,6.0,0.762,0.914,1.041,0.711,0.940
138,KM585138,BWBSDK1,BL,2.4,17.4244,2.1,23.837,0.767079999999998,9,13,9.5,6,6.5,10,0.711199999999991,0.762,0.8382,0.93980000000002,0.584199999999981
11,KINIS011,BWBSDK1,BL,2.5,17.78,2.5,43.909,1.02616,13.8,19,16,9,10,15,1.0668,1.2192,1.24459999999999,0.8382,0.762
70,KAK,BWBSDK1,BL,2.7,19.1516,3.0,22.019,1.1838,13.8,25.0,15.0,6.0,9.0,14.0,1.067,1.118,1.372,1.270,1.092
118,KM524118,BWBSDK1,BL,2.7,19.0754,2.6,28.783,0.828039999999998,14,15.5,20,11,8.5,15,0.558799999999991,0.88900000000001,0.990600000000001,0.634999999999991,1.0668
23,KAK,BWBSDK1,BL,3,23.0124,2.6,25.454,0.4064,12.4,16.0,15.0,12.0,9.0,10.0,0.457,0.635,0.356,0.254,0.330
69,KAK,BWBSDK1,BL,3,23.2918,2.5,15.917,1.1938,12.8,18.0,15.0,9.0,9.0,13.0,1.016,1.651,1.321,0.889,1.092
73,KINIS073,BWBSDK1,BL,3,22.6822,2.4,48.658,1.92024,14.5,13,13.5,9.5,13.5,23,1.39699999999999,2.10820000000001,2.10820000000001,1.65099999999998,2.33680000000001
35,KINIS035,BWBSDK1,BL,3.1,28.194,2.4,84.61,1.84404,26.2,26,25,23,30,27,2.26060000000001,2.28599999999999,1.57480000000001,1.67639999999999,1.42240000000001
136,KM585136,BWBSDK1,BL,3.2,18.5166,2.4,52.588,1.13792,11.9,15,9.5,11.5,11,12.5,1.21919999999997,1.34620000000001,0.990600000000001,1.0668,1.0668
137,KM585137,BWBSDK1,BL,3.2,17.6276,2.5,32.689,0.71628,12.8,12.5,11.5,10,20.5,9.5,0.635000000000019,0.660399999999982,0.86360000000002,0.736599999999982,0.6858
74,KINIS074,BWBSDK1,BL,3.3,19.7866,2.7,46.902,0.88392,14,19,14.5,3,12.5,21,0.939800000000005,0.8382,1.0414,0.81280000000001,0.787399999999991
132,KM524132,BWBSDK1,BL,3.6,20.4216,3.2,38.411,1.27,20.9,23,24.5,23,19,15,1.3716,1.34620000000001,0.990600000000001,1.42240000000001,1.2192
21,KAK,BWBSDK1,BL,3.7,26.5938,3.0,30.28,1.5596,17,24.0,22.0,14.0,16.0,9.0,1.473,1.753,1.651,1.549,1.372
135,KM585135,BWBSDK1,BL,3.7,21.6154,2.6,61.127,1.22428,12.8,16,14,13,8,13,1.09220000000002,1.34619999999998,1.3716,1.01600000000002,1.2954
144,KM585144,BWBSDK1,BL,3.7,22.098,3.1,73.825,1.016,15.7,21,19.5,13.5,13,11.5,1.11759999999998,1.32080000000002,1.24459999999999,0.73660000000001,0.660399999999982
24,KINIS024,BWBSDK1,BL,3.8,24.003,3.1,34.09,0.828040000000002,15.9,17,19,12,13.5,18,0.711200000000005,0.762,0.787400000000005,0.762,1.1176
8,KAK,BWBSDK1,BL,3.9,36.9062,3.0,32.471,1.021,11.8,17.0,17.0,11.0,5.0,9.0,0.813,0.991,1.041,1.092,1.168
17,KINIS017,BWBSDK1,BL,4,33.0454,2.8,51.401,2.43332,18.6,25,24,13,14,17,2.286,2.79399999999998,2.76860000000002,2.38759999999999,1.93039999999999
30,KAK,BWBSDK1,BL,4,32.2834,3.0,19.405,1.4732,12.6,14.0,17.0,7.0,12.0,13.0,1.473,1.600,1.854,1.067,1.372
95,KM553095,BWBSDK1,BL,4.1,32.8676,3,67.979,2.81432,27.2,36,36,24,17,23,3.07339999999999,3.47979999999998,2.76860000000002,2.26059999999998,2.48920000000001
133,KM585133,BWBSDK1,BL,4.1,20.2946,2.9,56.626,0.802639999999997,14.3,23.5,16,9,8,15,1.0668,1.09219999999999,0.787399999999991,0.6858,0.381
15,KAK,BWBSDK1,BL,4.2,26.3398,3.8,28.101,1.0668,17.4,22.0,21.0,11.0,14.0,19.0,1.041,1.372,1.295,0.813,0.813
51,KINIS051,BWBSDK1,BL,4.2,30.1498,3.5,41.496,1.63068,24.7,28,23.5,17,25,30,1.524,1.57479999999998,1.57480000000001,1.524,1.95579999999998
52,KINIS052,BWBSDK1,BL,4.2,23.9268,3.5,57.599,2.04216,25,32,30,18,17,28,1.905,2.413,2.5654,1.77800000000001,1.54939999999999
142,KM585142,BWBSDK1,BL,4.2,22.2504,3.6,44.942,1.76276,30.1,33.5,40,33.5,29,14.5,1.57479999999998,2.03200000000001,2.0574,1.4478,1.70179999999999
41,KINIS041,BWBSDK1,BL,4.3,33.1724,3.1,86.851,2.26568,20.3,29,25.5,14,14.5,18.5,2.4892,2.26060000000001,2.00659999999999,2.15900000000001,2.413
44,KAK,BWBSDK1,BL,4.3,30.7086,3.0,29.767,1.4174,9.8,15.0,8.0,3.0,11.0,12.0,1.194,1.448,1.270,1.626,1.549
